steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
298110,Far Cry® 4,game,29.99,2014-11-01,80.0,13006.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298110/header.jpg?t=1453737319
298140,Rhiannon: Curse of the Four Branches,game,5.99,2014-05-15,67.0,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298140/header.jpg?t=1447361657
298160,Eldevin,game,0.0,2014-11-05,,1199.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298160/header.jpg?t=1447361658
298180,The Desolate Hope,game,0.0,2014-05-05,,592.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298180/header.jpg?t=1447361659
298220,Terraformer Expedition to Mars,game,24.99,2015-11-20,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298220/header.jpg?t=1448061044
298240,Red Crucible®: Firestorm,game,0.0,2015-12-22,,6382.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298240/header.jpg?t=1478023639
298260,Only If,game,0.0,2014-07-25,39.0,5612.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298260/header.jpg?t=1455028983
298280,XenoRaptor,game,14.99,2014-06-16,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298280/header.jpg?t=1447361662
298300,UFO Online: Fight for Earth,game,,2014-10-10,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298300/header.jpg?t=1447361662
298340,FLASHOUT 2,game,4.99,2014-06-06,,187.0,1.0,0.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298340/header.jpg?t=1447361663
298360,Immortal Defense,game,9.99,2015-08-31,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298360/header.jpg?t=1478092621
298400,Knightmare Tower,game,3.99,2014-06-16,,358.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298400/header.jpg?t=1447361664
298420,Dreii,game,5.99,2016-02-02,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298420/header.jpg?t=1454426632
298480,Victory At Sea,game,24.99,2014-08-08,,334.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298480/header.jpg?t=1478277985
298520,Orbital Gear,game,9.99,2014-08-07,59.0,1476.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298520/header.jpg?t=1447361666
298560,Captain Forever Remix,game,14.99,2016-06-03,,187.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298560/header.jpg?t=1478232571
298600,Lovely Planet,game,5.99,2014-07-31,61.0,1966.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298600/header.jpg?t=1447361669
298630,The Escapists,game,17.99,2015-02-13,71.0,10448.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298630/header.jpg?t=1481282345
298790,Rock Boshers DX: Directors Cut,game,5.99,2014-12-10,,,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/298790/header.jpg?t=1472204476
298820,Millennium 2 - Take Me Higher,game,5.99,2014-07-10,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298820/header.jpg?t=1479663122
298830,Millennium 3 - Cry Wolf,game,5.99,2014-08-29,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298830/header.jpg?t=1479663329
298840,Millennium 4 - Beyond Sunset,game,5.99,2014-09-19,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298840/header.jpg?t=1479663331
298850,Millennium 5 - The Battle of the Millennium,game,9.99,2014-11-07,,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298850/header.jpg?t=1479663339
298890,Adventure Time: The Secret Of The Nameless Kingdom,game,2.99,2014-11-18,,114.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/298890/header.jpg?t=1447361697
